QUESTIONS - TTS,QUESTIONS - TEXT ON SCREEN,ANSWER 1,RESPONSE 1 - TTS,RESPONSE 1 - TEXT ON SCREEN,RESULT 1,RESULT 1 Type,ANSWER 2,RESPONSE 2 - TTS,RESPONSE 2 - TEXT ON SCREEN,RESULT 2,RESULT 2 Type
Flowers,,,,,,,,,,,
What came first? The egg. Or the eggplant.,What came first?,Egg,"I knew it was the egg, these daisies sure look like eggs!",,daisies,flowers,Eggplant,"Bold choice, I like your style! These beautiful lilacs remind me of eggplants",,lillac,flowers
What goes best with a mug of hot chocolate? Marshmallows. or whipped cream.,What goes best with a mug of hot chocolate?,Marshmallows,"Yum, let's plant some baby's breath",,baby_s_breath,flowers,Whipped cream,"A soft and fluffy topping, just like this pampas grass",,pampas_grass,flowers
Do you get your best work done when it’s quiet? Or with some music playing.,When do you get your best work done?,Quiet,"Quiet, me too. Time for some calming lavender",,lavendar,flowers,Music,"I love a little background music, and I love these beautiful angel's trumpets!",,angels_trumpets,flowers
"A chili pepper is hot. But if it’s chilly outside, it’s cold. So what is chilly? Hot. Or cold.","If you eat chili it’s hot, but if it’s chilly outside it’s cold. So which is it?",Hot,Ah yes! Toasty hot pepper plant I think,,chili_pepper,flowers,Cold,"Ah yes! A frosty tipped snowdrop then, I think.",,snowdrop,flowers
"It’s movie time! Are you picking a romcom, or a sci-fi flick?",It’s movie time! Which are you picking?,Romantic Comedy,Romantic! Let's plant some roses,,rose,flowers,Science Fiction,I sometimes dream of drifting in outer space. Let's plant some cosmos,,cosmos,flowers
What’s the best garnish for a glass of sparkling water? Lemon. or lime.,What’s the best garnish for sparkling water?,Lemon,"Refreshing and sweet, good choice. A lemon tree then!",,lemon_tree,flowers,Lime,The extra tart tang of a lime. Delicious! A lime tree it is!,,lime_tree,flowers
"If you’re making a sandwich, which ingredient is most important? Tomato. Or lettuce.",Which is most important in a sandwhich?,Tomato,"Of course, the juicy tomato tang is the key! A tomato tree for thee!",,tomatoes,flowers,Lettuce,"Crispy crunchy nature flaps, nothing better. Lettuce it is!",,lettuce,flowers
Do you like your pillows fluffy? Or firm.,How do you like your pillows?,Fluffy,"A fluffy pillow is like a cloud for the noggin. Mind you, I sleep sitting up. Here's some fluffy pampas grass.",,pampas_grass,flowers,Firm,"I like my pillows as firm as a brick of gold. speaking of gold, let's plant some marigolds.",,marigold,flowers
Do you prefer gazing at the sunrise? Or the sunset.,What do you prefer gazing at?,Sunrise,A golden smiley sun blast in the morning. Nothing better!,,marigold,flowers,Sunset,Our radiant orb tucks itself in for the night. Purples and pink are the sunset colors.,,lavendar,flowers
Looking for a snack? Is it time for a side salad? Or a fruit salad.,Looking for a snack? Which is it?,Side salad,"I'm a savory gnome myself. Lettuce and vinagrette, yum!",,lettuce,flowers,Fruit salad,"I see, sweet juicy fruits! there's nothing better. let's go with some grapes",,grapes,flowers
You are an ogre obsessed with intense flavor. Do you choose lip curling sour? Or tongue burning spice.,"If you are an ogre, which flavor do you choose?",Sourness,"A sour crumpled ogre mug, what a thought! Let's plant a lemon tree!",,lemon_tree,flowers,Spice,"An ogre with a mouth on fire, not something I'd want to bump into. Let's spice things up with some hot peppers!",,chili_pepper,flowers
You are about to transform into a dog forever. Will you be a rotund chocolate lab? Or a long lean greyhound.,What type of dog would you want to transform into? ,Chocolate,"Chocolate labs are so tubby and cute. Maybe a chubby cactus then, yes. ",,prickly_pear_cactus,flowers,Greyhound,"Grey lightning, those greyhounds can really move. A lean seguro cactus for a lean dog.",,saguaro_cactus,flowers
"If a witch cursed you with an incredibly long nose. Would it stick straight out, or bend in a gentle arc?",Your nose has been cursed. What shape is it?,Straight,Like pinnochio. Have you been telling fibs? Hahaha! Alliums are what we need. They're straight like arrows,,alliums,flowers,Curved,"Dignified bendy nose, I can respect that. How about a plant with a curve. Let's plant some bleeding hearts!",,bleeding_heart,flowers
You are embarking on a long and dangerous journey. Do you bring extra luck? Or courage.,You are embarking on a journey. What do you bring?,Luck,"Just let go and leave it to luck, I like your style. Let's plant some lucky clovers then",,clover,flowers,Courage,Courage comes from the heart. Let's have some bleeding hearts,,bleeding_heart,flowers
You are required to wear an elaborate headdress in order to attend a fairy banquet. Is your headdress made of pink velvet? Or white cotton.,What type of elaborate headdress would you wear to a fairy banquet?,Pink,Pink and proud. Perfect! Let's plant some cosmos,,cosmos,flowers,White,Some white daisies to match in your lapel then I think.,,daisies,flowers
You’ve been captured by a surly pirate who demands payment in exchange for your freedom. Do you pay him gold doubloons? Or green paper moneys.,You’ve been captured by a surly pirate. Which do you pay for your freedom?,Doubloons,"Gold, good choice. The pirate is sure to let you go. Let's plant some marigolds",,marigold,flowers,Moneys,"Paper money? I think a pirate might be more into crypto, but what do I know. Some clovers to represent green notes! ",,clover,flowers
You can’t sleep. Do you listen to the beating of your own heart? Or imagine the tinkling of bells.,You can’t sleep. What do you listen to?,Heart beat,"Good choice. There's a drum in your chest, you may as well listen to it",,bleeding_heart,flowers,Bells,"Tinkling bells, how relaxing. I think we'll plant some blue bells then",,bluebell,flowers
You are a creature of the deep. Are you an orca? Or a catfish.,Which creature of the deep are you?,Orca,"Top of the food chain, orcas, magnificent creatures. I wonder if orcas like orchids because that's what I'm planting next!",,orchid,flowers,Catfish,Blackened catfish is one of my favorite dishes. Not sure I'd want to be one though. In honor of catfish let's plant some cattails! ,,cattail,flowers
"You are a king’s musician. Are you blasting out a trumpet solo, or tinkling on a bell?",You are a king’s musician. Which instrument are you playing?,Trumpet,"Blasting on a trumpet? Easy with the tooting, tiger. But yes, let's plant some angels trumpets",,angels_trumpets,flowers,Bell,"Dingling a bell, that's a dainty maneuver. Let's plant some bluebells",,bluebell,flowers
"You’re madly in love. Does the one you desire, love you? Or love you not.","Does the one you desire, love you back?",Love you,They love you. They really love you. Let's gets some roses in this ground!,,rose,flowers,Love you not,"I've spent many an afternoon plucking petals of a daisy, that's for sure. Speaking of daisies, let's plant some!",,daisies,flowers
You’re getting creative in nature. Do you roll up a snowman? Or build an elaborate sand castle.,"You’re getting creative in nature, which one do you build?",snowman,"A kid once used me as a snowman's nose. Can you believe that? Speaking of snow, let's plant some snowdrops.",,snowdrop,flowers,Sandcastle,"Sandcastles in the sun, lovely. Speaking of sun, let's plant sunflowers!",,sunflower,flowers
"You're invited to a ball, but there's a catch, it's a ball for birds. Do you frolick with the flamingos, or waltz with the warblers?","You're invited to a ball for birds, which do you do?",Flamingos,"Flamingos are funky, wonderful choice. Let's plant some pink tulips to match.",,tulip,flowers,Warblers,The warblers are a wild bunch! Let's plant some yellow daffodils in their honor.,,daffodil,flowers
"I'm sorry for the corny question, but do you prefer your corn on the cob? Or popped.",Which way do you prefer your corn?,Cob,"Fantastic choice, these lupins sure do look like corn cobs",,lupin,flowers,Popped,"Movie theater style, smart choice. Say these crocus look a bit like popcorn",,crocuses,flowers
"It's time for a vacation! Are you headed to a sun drenched beach, or a snow covered mountain?",Where would you head for your vacation?,Beach,"Don't forget the sunscreen, it's going to be hot! let' plant some red hot pokers.",,red_hot_pokers,flowers,Mountain,"Brrrr, be sure to pack lots of layers! Let's plant some ice plants.",,ice_plant,flowers
You've ordered a heaping bowl of Vietnamese pho soup. What goes on top? Mint? Or basil.,What goes on top of your bowl of pho?,Mint,"Marvelous choice, speaking of mint, let's plant some right here.",,mint,flowers,Basil,"Basil, brilliant! speaking of, how about a basil plant right here.",,basil,flowers
"Would you look at that, it's tea time! Would you like mint? Or lavender.",What type of tea would you like?,Mint,Don't forget to add some honey. Let's plant some mint right here.,,mint,flowers,Lavender,Add a wedge of lemon and you're all set! Let's plant some lavender right here.,,lavendar,flowers
"After a long summer day, you stumble upon a snow cone cart. Are you going with fruit punch? Or lemon lime.","After a long summer day, which snowcone do you have?",Punch,I can taste it already! Let's plant some grapes and keep dreaming. ,,grapes,flowers,Lemon Lime,"Delicous choice, let's plant some lime trees and keep dreaming.",,lime_tree,flowers
"You woke up on the wrong side of the bed, and need to get back on the right side. Do you go for sunny side up eggs, or an ice cold shower?",How do you get back to the right side of the bed?,Eggs,"Fried eggs make everything better. Speaking of sunny side, let's plant some sunflowers ",,sunflower,flowers,Shower,"I can already feel my teeth chattering! Let's plant some ice plants, and hope this helps.",,ice_plant,flowers
"I promise this question isn't a decoy, what's the more iconic fake bird, the rubber duckie, or the lawn flamingo?",What's the more iconic fake bird?,Duck,"A bath time favorite, wonderful pick! Let's plant some yellow daffodils to celebrate.",,daffodil,flowers,Flamingo,"The lawn flamingo is actually a good friend of mine, great pick! Let's plant some pink tulips to celebrate.",,tulip,flowers
"My best friend Penelope asked for a sweet treat, should I go with cotton candy, or a lollipop? ",What type of sweet treat should I get for my best friend?,Cotton candy,"Soft and fluffy, Penelope is going to love it! These Lilacs look just like cotton candy!",,lillac,flowers,Lollipop,"yumm, a perfect sweet treat. Say, these alliums sure do look like lollipops.",,alliums,flowers
"You're on a first date, what's the bigger deal breaker, bad breath, or an ice cold attitude?","You're on a first date, what's the bigger deal breaker?",Breath,"Yes, sadly, that's nonstarter. Let's plant some baby's breath, and carry a mint.",,baby_s_breath,flowers,Attitude,"I couldn't agree more, let's plant an some ice plants and move on from this one. ",,ice_plant,flowers
"You're craving some comfort food, do you order a large plate of pesto or marinara pasta?",What comfort food do you order?,Pesto,You're making me hungry! Let's get some basil planted to celebrate.,,basil,flowers,Marinara,"Yumm, I like mine with extra parmesan! Let's plant some tomatoes.",,tomatoes,flowers
On a winter getaway would you rather be sitting next to a crackling fire or making snow angels?,"On a winter getaway, what would you rather be sitting next to?",Crackling fire,"Excellent choice, us gnomes love the simple comforts. Let's plant some red pokers. ",,red_hot_pokers,flowers,Snow angels,Nothing better! Let's plant some angel's trumpets.,,angels_trumpets,flowers
"Here's a question, minimalism or maximalism?",Here's a question...,Minimalism,"Ah, simplicity. Let's plant some orchids.",,orchid,flowers,Maximalism,The more the merrier! Let's plant some crocus.,,crocuses,flowers
"You're visited by an extra large magical spider in your dreams, is it a lanky daddy long legs, or a chunky torantula?",What type of spider visits you in your dreams?,Lanky daddy long legs,A long friend in deed! Let's plant some long saguaro cacti,,saguaro_cactus,flowers,Chunky tarantula,A chunky friend indeed! Let's plant some chunky prickly pear cacti.,,prickly_pear_cactus,flowers
"This town simply isn't big enough for two grapes! What will it be, grape grapes, or grape tomatoes?",What will it be?,Grape grapes,"A tried and true pick, the original grape! How about we plant a few.",,grapes,flowers,Cherry tomatoes,"A delicious choice, tomatoes forever!",,tomatoes,flowers
"What's the most exciting part of a roller coaster, the giant drop, or the loop-de-loop?",What's the most exciting part of a roller coaster?,Giant drop,"Maxium speed and stomach drop! that reminds me, let's plant some snowdrops!",,snowdrop,flowers,Loop-de-loop,"Hold on to your hats! I love a loop-de-loop, now let's plants some lupins!",,lupin,flowers
"The fruit salad bowl at the picnic is getting down to bottom, are you scooping up some grapes, or some pears?",What do you scoop up at the bottom of the fruit salad bowl?,Grapes,"A juicy choice, enjoy! And speaking of grapes, why don't we plant a few?",,grapes,flowers,Pears,"a ripe choice indeed! Speaking of pears, let's plant some prickly pear cacti.",,prickly_pear_cactus,flowers
"Close your eyes. Imagine a gigantic form looming in front of you. Is it a pink cone, or a green sphere?",What is the gigantic form looming in front of you?,Pink cone,A giant pink cone like some sort of candy land. That reminds me of lupins. Let's plant some of those.,,lupin,flowers,Green sphere,A giant green sphere. That sounds strangely relaxing. Reminds me of a head of lettuce. This garden could use some of those.,,lettuce,flowers
"Every so often you turn into a majestic, magical beast. Are you a pink unicorn, or a fiery pheonix?","What kind of majestic, magical beast do you turn into?",Pink unicorn,The energy of a pink unicorn makes me feel like a rinky dinky filly. This is an omen that we should plant some lupins in the garden i think,,lupin,flowers,Fiery phoenix,Slow down cowpoke. You'd be a feisty fried chicken of a pheonix. You think you're ready for that? Let's plant some red hot pokers to commemorate this fiery decision.,,red_hot_pokers,flowers
"You're meeting a blind date for the first time, do you deliver a romantic line, or a corny joke?",What do you say to your blind date for the first time?,Romantic line,Beautiful choice! And here is a romantic rose to go with it.,,rose,flowers,Corny joke,"Yes, I'm afraid corny jokes are my favorite as well. Speaking of, these lupin look a bit like corn!",,lupin,flowers
"You're running out the door, but you haven't had breakfast yet! What's the better to grab, a plum or a banana?",What do you grab for breakfast as your run out the door?,Plum,A delicous pick! Just be careful of the juice. Let's plant some plum purple lilacs.,,daffodil,flowers,Banana,"Peel and go, it's just that easy. Let's plant some banana yellow daffodils.",,daffodil,flowers
"You discover a magic lamp and out pops a genie! Are you wishing for a lifetime of good luck, or the ability to see the future?",What do you wish from your genie in the lamp?,Lifetime of good luck,And good luck you shall have! Let's plant some clovers.,,clover,flowers,See the future,I hope the future is bright! Let's plant some majestic cosmos.,,cosmos,flowers
"When is your favorite time to explore the world, under the beaming sun, or under the glowing moon?",When is your favorite time to explore the world?,Beaming sun,A bright choice indeed! Let's plant some sunflowers.,,sunflower,flowers,Glowing moon,"A magical pick! Enjoy the purple glow, and this purple lavender.",,lavendar,flowers
"Life on the farm is hard work, but you always find time for fun. Do you like playing with the piglets, or chirping with the chickies?",What do you do for fun on the farm?,Playing with piglets,It's time to roll in the mud with those pink piggies. And it's time to plant some pink tulips.,,tulip,flowers,Chirping with chickies,Sing loud and proud with those yellow chickies. And enjoy these yellow marigolds.,,marigold,flowers
"It's the first day of bandcamp, are you reaching for the trumpet, or picking up the bells?",What do you play at the first day of bandcamp?,Reaching for trumpet,"toot toot! You sound wonderful, and these angel's trumpets look wonderful.",,angels_trumpets,flowers,Picking up bells,"ding-a-ling-a-ling! They sound lovely, and these blue bells look lovely.",,bluebell,flowers
"You're late for a visit with a magical oracle, but it's only four blocks away! Do you run like a cat, or call a taxi cab?",How do you get to your visit with a magical oracle?,Run like a cat,"You're hightailing it, good luck! Let's plant some speedy cattails. ",,cattail,flowers,Call taxi cab,Let's hope that yellow cab is on time! And let's plant these lovely yellow daffodils!,,daffodil,flowers
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Path,,,,,,,,,,,
Do you prefer the feeling of sand or moss between your bare toes?,Which do you prefer between your bare toes?,Moss,"Ah yes, I love that squidgy, soft feeling. Moss is mother natures carpet. I'll put some moss on this path.",,moss_1,path,Sand,There are few things better than cool sand between the toes! Let's get some sand on this path.,,path_sand,path
Would you rather stroll on a cloud or on a sand dune?,Where would you rather stroll?,Cloud,You know what feels like walking on a cloud? Moss! I'll plant some on this path.,,moss_2,path,Sand,"Scorching sand dune, ouch! You'd better have some hefty callouses. I'll put sand on this path.",,path_sand,path
"Imagine for a moment that you have to restart your life as a rock or a plant, which would you be?",Where would you restart your life?,Rock,"A rock! That's crazy talk. You're in for a long boring ride with geological time, but hey it's your choice. I'll put pebbles on this path.",,path_pebbles,path,Plant,"I've always wanted to be a plant too. In particular I wonder what it feels like to be moss. Speaking of, let's plant some moss on this path",,moss_3,path
Do you like your peanut butter chunky or smooth?,How do you like your peanut butter?,Cunky,"Yes, crunchy peanut butter makes my taste buds dance. In honor of chunky peanut butter let's put some chunky pebbles on this path",,path_pebbles,path,Smooth,Smooth peanut butter is good but it gums up my gnomey mouth something fierce. I'll put some smooth sand on this path.,,path_sand,path
"What's more satisfying, a glorious sandcastle, or an exquisite, mossy terrarium?",What's more satisfying?,Sand Castle,"Hardly anything more relaxing than digging around on the beach. I've never been to a beach actually but my cousin is a beach gnome and told me all about it. I know, we'll bring a bit of beach to the garden by using sand for this  path.",,path_sand,path,Terrarium,Oh I love a good terrarium. Very british. Did you know that a terrarium can sometimes have a closed weather system. Imagine a little cloud floating in a glass bottle garden. Makes me smile just thinking of it. Let's use moss for this path.,,moss_4,path
Background (trees),,,,,,,,,,,
"A princess is gifting you a pet imbued with legendary cuteness rating. Is it a fluffy white bunny, or a pink hedgehog?",A princess is gifting you a pet imbued with legendary cuteness rating. Which is it?,Bunny,ha ha ha ha ha a fluffy white bunny. You're too much. Let's get some fluffy white dogwood trees up in here,,tree_dogwood,background,Hedgehog,A pink hedgehog would be tremendous. Cute! I want one. Let's plant some hibiscus and imagine that they're giant pink hedgehogs,,hibiscus,background
"If you were an ent, a giant tree creature, would you be a long lean tree or a tubby little bush?","If you were an ent, what shape would you be?",Tree,"A spindly ent, good for reaching into high places. Let's plant an oak tree.",,tree_oak,background,Bush,"A chubby, stout ent. Like a sentient shrub perhaps. Let's plant boxwoods!",,boxwood,background
"When it comes to cookies, do you prefer plain sugar, or chocolate chip?",Which type of cookie do you prefer?,Sugar,"Keep it simple, a fine choice indeed. Reminds me of these lovely Boxwoods.",,boxwood,background,Chocolate chip,"A true classic! Reminds me of these lovely Boxwoods, speckled with flowers.",,boxwood_w_flowers,background
"It's ice cream time! Are you keeping it simple with vanilla, or spicing it up with strawberry?",What type of icecream do you like more?,Vanilla,"A true classic, vanilla will never let you down! Those white scoops remind me of the leaves on this dogwood tree.",,tree_dogwood,background,Strawberry,A perfect treat! Enjoy your strawberry scoops and let's plant some pink cherry blossom trees.,,tree_cherry_blossom,background
,,,,,,,,,,,
,,,,,,,,,,,
"Hero ( birdbath, statue, etc...)",,,,,,,,,,,
You’re a bird; are you taking a bath or perched on a statue?,"If you were a bird, which would you be doing?",Bathing,Cool refreshing bath. Nice. Here's a birdbath for the garden.,,bird_fountain,hero,Perched,You'd need somewhere to perch then. Here's a statue for the garden.,,statue,hero
"The might of stone, or the flexibility of water?",Which one are you?,Stone,Yes. Let's go back to the stone age. Here's a stone statue.,,statue,hero,Water,Flowing aquatic flexibility. Good choice. Here's a bird fountain.,,bird_fountain,hero
Belly button: Innie or outie?,Belly button type?,Innie,Gnome belly buttons are like a mary poppins bag. we  store small objects in them. Here's a birdbath ,,bird_fountain,hero,Outie,The legend has it that there will one day be a gnome with an outie belly button. They will be the chosen one. Here's a statue for the garden.,,statue,hero
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Seat ( bench, tree log, etc...)",,,,,,,,,,,
"It’s movie night at your friend’s house! Are you grabbing a seat on the couch, or on the floor?",It’s movie night. Where do you sit?,Couch,"Couches are the coziest! Beats a tree stump, that's for sure. Here's the closest thing I've got. A bench.",,bench,seat,Floor,You'd sit on the floor! Good choice. I like being close to the ground. Here I'll put a blanket down for any garden spectators.,,blanket,seat
"You’re making an escape! Do you fly away on a magic carpet, or ride a tree trunk down a raging river?",You’re making an escape! How do you do it?,Fly,I've always wanted to have tea with a genie on a magic carpet. It's on my bucket list. Here's blanket for the garden.,,blanket,seat,Ride,You'd surf a log down a river? Wow! You live a much more exciting life than this humble gnome. Here's a log for people to sit on.,,log,seat
You’re doing nothing and watching the world go by. Are you sitting on a park bench or a log in a forest?,Where are you as you're watching the world go by?,Bench,Park bench people watching is some of the finest in the world. Here's a bench for the garden.,,bench,seat,Log,Sitting on a log is what I do best. Here's a log for people hanging out in the garden.,,log,seat
"You're a lonely centipede. Where do you go hunting for a new friend: In a soft, rotten tree trunk, or a crumb filled picnic?",You're a lonely centipede. Where do you go hunting for a new friend?,Tree trunk,Fantastic. Hunting for bugs in a rotten log is a centipede's dream. Here's a log for the garden.,,log,seat,Picnic,Righteous. You can nip a few humans while you're doing that. Here's a picnic blanket for the garden.,,blanket,seat
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Secondary,,,,,,,,,,,
"It’s time for some thrills! Are you headed to the water park, or theme park?",It’s time for some thrills! Where are you headed to?,Water park,We gnomes don't wear bathing suits. But we do shower with a watering can! let's get you a watering can for your garden,,watering_can,secondary,Theme park,Roller coasters make gnomes sick. You'd have to carry me home in a wheelbarrow.,,wheel_barrow,secondary
"You’re hungry and thirsty: do you hydrate with a cold glass of water, or shovel some food into your mouth?",You’re hungry and thirsty. Which do you do?,Water,Good idea. Humans can't last long without water. Us gnomes can go for several fortnight. We just get a bit crumbly. Here's a watering can to sooth your parched palette.,,watering_can,secondary,Food,"Us gnomes have been known to shovel in the grub! Speaking of shovels, here's one to help with the garden work.",,shovel,secondary
You're stranded on a desert island and can have only one of the following items. Which do you choose: a cup or a spoon?,Which do you have on a desert island?,Cup,"For collecting water, good thinking. I'd use a watering can.",,watering_can,secondary,Spoon,"I suppose you could dig for stuff with a spoon. Yes, you could use it as a shovel!",,shovel,secondary
"Pick a super power: Seeing the future like a clairvoyant wizard, or running at the speed of light?",Pick your super power.,Clairvoyant,"A wizard once turned me into a frog for a week. Anyway, speaking of wizards here's a crystal ball",,gazing_ball,secondary,Quick,Just imagine the places you'll go! You'll be faster than this speedy wheelbarrow.,,wheel_barrow,secondary
You’re rolling down a hill. Are you a wheel or a ball?,What are you as your roll down a hill?,Wheel,There couldn't be any wheelbarrows without wheels now could there?,,wheel_barrow,secondary,Ball,"Rolling down a hill in a ball, that sounds fun, if also a bit painful. Here's a ball for the garden.",,gazing_ball,secondary
